Call Type,EmployeeID,CallDuration,WaitTime,CallDate,CallTime
1,T398672,1126,138,14-08-2019,10:31:00
2,K915074,1320,69,06-10-2019,09:59:00
2,G586239,1294,10,11-02-2019,19:28:00
1,O362956,960,0,10-01-2019,12:10:00
3,S274120,1026,0,04-01-2019,12:24:00
3,E778362,649,0,19-05-2019,08:30:00
2,M794992,433,172,20-06-2019,09:48:00
3,N470942,158,18,29-01-2019,16:15:00
2,P203824,671,13,08-11-2019,14:25:00
2,S564705,1293,0,04-05-2019,14:48:00
2,J549755,914,0,18-11-2019,08:21:00
3,V828034,1155,106,18-05-2019,16:21:00
2,N772493,1040,18,30-09-2019,19:05:00
3,C206355,1271,144,01-08-2019,12:40:00
1,I543040,283,5,17-09-2019,15:24:00
1,N620104,1186,0,31-10-2019,08:33:00
1,U641256,130,0,20-11-2019,19:44:00
3,M855788,930,0,20-03-2019,17:48:00
2,J419954,755,0,16-09-2019,14:22:00
2,X409223,1484,24,04-01-2019,09:18:00
1,A166733,196,3,13-01-2019,18:28:00
3,Y193775,897,0,26-04-2019,17:19:00
1,B971624,1385,0,25-07-2019,15:24:00
1,J192194,1404,7,23-09-2019,08:44:00
2,V126561,1454,0,18-12-2019,11:12:00
2,I543040,1108,13,06-01-2019,14:20:00
3,O856292,334,0,11-08-2019,12:57:00
3,K273930,215,0,23-07-2019,08:43:00
3,G727038,145,19,10-06-2019,09:27:00
3,H438047,1117,0,15-05-2019,11:31:00
2,F533051,446,21,18-01-2019,17:39:00
3,V228277,955,0,27-11-2019,18:15:00
3,P203824,137,0,20-07-2019,14:46:00
3,U559430,233,0,18-05-2019,10:31:00
2,I992869,452,8,06-07-2019,15:37:00
1,J192194,1436,8,15-02-2019,16:28:00
2,N620104,387,0,17-10-2019,09:34:00
2,F533051,718,30,01-05-2019,17:55:00
3,T659609,354,96,08-02-2019,12:31:00
2,X825147,1325,3,08-12-2019,16:47:00
2,C206355,1332,30,12-04-2019,13:31:00
3,V732706,1174,0,16-09-2019,12:24:00
3,E988252,930,23,03-03-2019,09:58:00
3,U194381,81,17,18-07-2019,11:28:00
3,K915074,172,28,03-07-2019,17:21:00
3,J192194,1429,26,31-10-2019,13:19:00
1,X991580,1331,0,29-03-2019,13:39:00
1,T664783,953,11,18-08-2019,12:35:00
2,X409223,517,0,06-05-2019,10:03:00
3,T659609,590,7,13-03-2019,15:44:00
3,K222775,1157,13,04-02-2019,12:08:00
3,T387561,292,24,23-03-2019,08:57:00
2,O856292,421,4,12-12-2019,08:05:00
2,A166733,1179,0,04-11-2019,13:03:00
2,V732706,1335,20,01-06-2019,11:35:00
1,X409223,1003,17,19-06-2019,08:30:00
2,H438047,1106,20,28-04-2019,08:24:00
2,B971624,1421,218,13-08-2019,13:12:00
3,P203824,1007,18,24-12-2019,19:01:00
3,U559430,609,6,08-12-2019,09:40:00
2,P203824,640,0,16-12-2019,13:41:00
3,N772493,1295,0,10-08-2019,19:55:00
2,J173690,101,0,15-02-2019,17:09:00
3,S564705,1139,28,24-06-2019,09:30:00
2,T387561,33,4,22-06-2019,19:21:00
1,J173690,357,0,15-03-2019,10:34:00
2,G727038,663,23,02-11-2019,10:54:00
3,F533051,1468,0,24-05-2019,16:22:00
2,M794992,327,0,08-04-2019,11:56:00
1,L736768,579,21,17-09-2019,08:33:00
3,O362956,89,2,12-03-2019,15:37:00
3,S704443,912,24,22-11-2019,10:51:00
2,Y193775,734,0,09-05-2019,13:45:00
2,X991580,299,145,30-05-2019,11:28:00
3,D774655,779,5,11-12-2019,08:43:00
2,B971624,7,0,05-03-2019,12:12:00
3,C206355,95,0,16-10-2019,16:50:00
2,G727038,319,0,08-11-2019,19:08:00
2,M163408,729,20,09-07-2019,11:15:00
2,P203824,467,0,19-12-2019,09:51:00
3,B651033,48,0,28-01-2019,13:29:00
3,U559430,175,0,06-12-2019,14:34:00
3,J632516,140,0,05-07-2019,08:07:00
2,T398672,837,1,05-09-2019,11:24:00
2,C206355,113,0,30-03-2019,13:51:00
2,T664783,48,2,28-05-2019,08:35:00
3,I543040,450,202,05-06-2019,13:24:00
2,I992869,1398,7,19-03-2019,09:29:00
3,T398672,1221,26,17-03-2019,12:33:00
1,T659609,1248,16,08-11-2019,14:30:00
3,M163408,477,18,12-08-2019,15:42:00
3,K399501,28,288,19-06-2019,13:41:00
3,V828034,234,0,14-03-2019,10:28:00
2,H438047,913,0,17-04-2019,14:17:00
3,J173690,1465,84,01-03-2019,15:49:00
2,F542348,591,198,22-08-2019,12:57:00
3,M163408,1014,1,13-04-2019,14:03:00
3,V732706,742,2,14-03-2019,17:47:00
1,J192194,519,0,14-11-2019,17:52:00
1,Y193775,1231,15,10-04-2019,19:35:00
1,J192194,1016,28,02-07-2019,18:25:00
2,N620104,324,24,22-10-2019,15:35:00
3,O856292,407,4,21-02-2019,15:09:00
2,M855788,93,2,08-07-2019,11:29:00
2,X110622,1210,19,17-05-2019,09:57:00
3,J419954,1327,11,13-03-2019,08:03:00
2,V732706,540,26,28-06-2019,15:13:00
3,E243130,451,242,15-04-2019,13:07:00
3,U559430,118,0,14-08-2019,17:10:00
3,M794992,1335,0,20-01-2019,18:28:00
3,T387561,284,0,02-11-2019,10:33:00
2,N119221,345,18,20-11-2019,08:06:00
2,V828034,1268,13,19-07-2019,08:13:00
3,K399501,1002,0,30-08-2019,08:39:00
3,Y193775,685,2,31-08-2019,16:50:00
3,E778362,1376,4,16-11-2019,15:59:00
1,J173690,1002,199,06-09-2019,15:22:00
3,F533051,1144,0,19-10-2019,09:47:00
2,E243130,1119,0,25-12-2019,16:21:00
3,J192194,253,0,15-10-2019,17:15:00
2,O856292,1356,0,04-04-2019,11:18:00
3,J549755,276,0,14-02-2019,11:38:00
1,O856292,640,0,28-05-2019,14:55:00
2,B651033,405,13,07-11-2019,09:17:00
3,L736768,1407,30,11-12-2019,08:46:00
3,D411745,1249,20,16-10-2019,17:06:00
3,O856292,944,22,23-04-2019,19:19:00
3,E778362,1344,0,15-09-2019,19:01:00
2,G586239,172,0,18-04-2019,10:07:00
2,H438047,89,27,14-12-2019,16:27:00
2,F533051,604,30,15-08-2019,12:12:00
3,I543040,212,1,16-12-2019,11:15:00
3,E988252,1073,0,05-11-2019,18:49:00
3,E988252,703,155,16-02-2019,13:10:00
2,D774655,1123,0,23-11-2019,13:38:00
3,E778362,1011,0,24-03-2019,12:04:00
3,O856292,770,0,27-12-2019,11:31:00
1,E137708,984,23,25-08-2019,11:07:00
1,V732706,360,219,25-08-2019,16:31:00
3,N119221,828,0,20-10-2019,14:24:00
3,E137708,703,0,10-02-2019,14:21:00
3,J549755,704,15,16-11-2019,11:34:00
1,D411745,71,1,01-07-2019,15:24:00
3,S704443,765,0,19-11-2019,12:05:00
3,J632516,1208,19,13-07-2019,08:58:00
3,F542348,661,8,29-05-2019,14:46:00
3,N772493,554,293,24-04-2019,13:28:00
3,P203824,760,5,01-10-2019,17:40:00
3,G586239,542,155,07-09-2019,19:16:00
2,E988252,669,0,11-02-2019,14:23:00
3,N119221,329,1,15-01-2019,10:11:00
3,P286634,1304,19,17-11-2019,10:01:00
3,T659609,1499,0,08-09-2019,17:10:00
3,M163408,936,0,17-04-2019,17:46:00
2,K399501,450,24,09-07-2019,18:01:00
2,A166733,608,0,01-11-2019,09:48:00
3,O362956,814,14,12-02-2019,13:46:00
2,O362956,642,22,24-01-2019,15:55:00
2,K222775,1486,0,13-12-2019,10:03:00
3,U194381,1420,20,30-01-2019,17:05:00
1,I992869,171,192,09-10-2019,09:57:00
3,C206355,705,27,12-05-2019,14:06:00
2,N119221,207,4,16-08-2019,11:55:00
3,J173690,589,0,08-03-2019,12:31:00
3,O856292,1090,26,11-02-2019,08:43:00
2,V228277,1463,30,24-03-2019,19:17:00
1,K222775,74,7,31-01-2019,10:58:00
2,E988252,65,8,31-01-2019,10:43:00
2,V828034,649,0,27-05-2019,17:46:00
3,N620104,1420,27,20-10-2019,13:00:00
2,V228277,741,0,12-07-2019,19:42:00
3,K915074,1248,0,25-05-2019,11:28:00
2,J173690,1015,0,21-03-2019,15:57:00
3,P203824,700,0,15-08-2019,17:13:00
2,U559430,258,0,28-10-2019,18:55:00
2,S704443,54,1,14-04-2019,19:01:00
2,M794992,1302,6,11-11-2019,10:39:00
3,I281837,841,14,24-02-2019,14:11:00
3,V126561,1202,30,22-09-2019,14:49:00
2,V828034,274,0,13-01-2019,08:31:00
2,J419954,558,19,24-05-2019,16:45:00
3,D774655,1282,0,08-07-2019,14:48:00
3,S564705,1255,0,06-06-2019,08:21:00
2,G727038,786,11,14-12-2019,12:50:00
3,S704443,239,5,04-02-2019,08:33:00
3,B971624,298,21,01-07-2019,10:23:00
3,N119221,829,19,27-01-2019,16:05:00
3,T398672,797,6,13-06-2019,11:57:00
3,M163408,787,0,27-02-2019,19:41:00
1,S704443,406,28,12-07-2019,10:15:00
1,S564705,1313,21,28-05-2019,14:24:00
3,E243130,382,5,10-11-2019,17:35:00
3,V228277,801,5,15-05-2019,08:27:00
1,N119221,944,6,30-03-2019,12:37:00
3,I543040,76,1,01-05-2019,17:38:00
3,H438047,502,30,07-10-2019,10:13:00
2,F542348,221,0,31-12-2019,16:46:00
2,K273930,1239,26,11-07-2019,16:43:00
3,J549755,989,74,08-06-2019,13:47:00
2,Y193775,38,11,01-05-2019,08:19:00
2,N772493,510,14,21-08-2019,14:08:00
1,T398672,700,183,02-01-2019,11:54:00
3,A166733,1275,25,30-06-2019,15:49:00
3,C319958,1383,26,26-11-2019,14:01:00
2,X991580,1191,0,02-10-2019,08:54:00
3,M855788,145,272,01-06-2019,15:04:00
2,B651033,970,0,22-05-2019,14:10:00
3,E243130,951,0,21-10-2019,13:21:00
3,U641256,113,0,04-03-2019,15:21:00
3,J419954,657,0,26-05-2019,08:29:00
2,U641256,183,0,14-09-2019,08:28:00
1,G727038,670,0,11-11-2019,13:19:00
3,M794992,678,21,09-09-2019,10:49:00
2,T664783,424,9,25-07-2019,13:57:00
3,T659609,60,18,23-04-2019,12:08:00
1,K915074,914,0,01-10-2019,14:07:00
2,K915074,875,21,01-01-2019,18:20:00
2,T387561,594,3,27-12-2019,16:43:00
3,X409223,1172,5,09-07-2019,13:55:00
3,B861430,319,8,13-12-2019,16:11:00
2,U194381,1226,28,12-10-2019,14:31:00
3,D774655,1219,121,03-03-2019,14:28:00
1,I543040,639,0,08-08-2019,19:33:00
3,S564705,554,0,12-08-2019,13:12:00
2,B861430,683,0,31-12-2019,11:27:00
3,F533051,317,278,28-04-2019,16:42:00
3,O362956,123,21,05-01-2019,17:48:00
3,S564705,441,0,01-03-2019,19:16:00
1,E778362,784,10,10-07-2019,09:14:00
3,I543040,103,11,13-05-2019,09:06:00
2,E137708,314,20,22-05-2019,16:45:00
2,P286634,1121,0,16-01-2019,10:03:00
3,F542348,793,28,12-07-2019,15:23:00
3,X991580,595,29,01-10-2019,17:33:00
2,J192194,1019,16,02-12-2019,14:39:00
2,B971624,160,0,13-06-2019,10:06:00
3,O362956,456,0,30-07-2019,15:50:00
2,O362956,1359,11,07-05-2019,12:55:00
2,G586239,1346,0,10-07-2019,10:01:00
2,A475155,707,0,10-03-2019,15:18:00
2,N470942,1166,0,01-02-2019,17:33:00
2,P286634,850,0,14-11-2019,20:00:00
3,V228277,1302,0,29-09-2019,08:30:00
3,D411745,1036,0,15-06-2019,17:57:00
2,T398672,1113,0,28-02-2019,14:27:00
2,J419954,715,0,29-07-2019,09:28:00
3,V228277,568,11,18-03-2019,08:07:00
3,J419954,921,27,18-05-2019,13:53:00
3,E988252,14,0,17-10-2019,17:07:00
2,O362956,367,17,05-12-2019,10:20:00
3,E778362,977,0,02-08-2019,10:42:00
3,S564705,367,0,31-08-2019,14:22:00
3,S704443,640,30,22-11-2019,15:57:00
2,J173690,985,6,16-10-2019,15:38:00
2,X825147,1243,17,21-10-2019,08:10:00
3,D774655,931,0,05-11-2019,13:52:00
1,E137708,626,28,02-02-2019,13:59:00
2,N119221,1475,0,18-03-2019,14:03:00
2,K418200,800,0,28-04-2019,10:08:00
1,Y193775,643,0,15-07-2019,11:24:00
1,I543040,360,0,19-06-2019,15:43:00
3,Q921541,679,0,20-03-2019,14:21:00
3,S564705,636,15,11-02-2019,16:36:00
2,K273930,281,100,10-09-2019,13:15:00
3,S564705,1057,10,10-01-2019,13:10:00
3,O856292,1259,0,01-09-2019,12:25:00
3,K273930,391,30,19-02-2019,19:11:00
2,T398672,1059,0,13-03-2019,19:27:00
2,B971624,1113,6,13-07-2019,11:04:00
3,O856292,187,0,19-09-2019,18:37:00
3,I992869,451,26,14-02-2019,12:08:00
2,I992869,1072,0,27-02-2019,16:05:00
2,B971624,388,7,11-09-2019,18:16:00
3,H438047,1033,0,24-02-2019,09:13:00
2,J192194,205,0,11-02-2019,17:27:00
3,C206355,238,0,20-04-2019,12:06:00
2,H438047,120,0,17-12-2019,08:27:00
3,I543040,1241,0,01-11-2019,10:37:00
2,H438047,356,8,16-01-2019,11:42:00
2,T659609,689,0,17-08-2019,14:40:00
3,N119221,52,2,24-03-2019,14:22:00
1,D774655,626,0,11-10-2019,17:28:00
1,K915074,34,23,19-02-2019,15:39:00
1,U641256,210,244,12-07-2019,08:39:00
3,T659609,586,0,29-05-2019,17:42:00
3,J549755,767,0,27-01-2019,08:39:00
3,S274120,1213,0,01-10-2019,19:58:00
3,F533051,816,22,01-10-2019,12:04:00
3,J632516,492,0,23-05-2019,19:21:00
3,T664783,127,0,12-08-2019,10:26:00
3,D411745,1013,1,01-04-2019,19:42:00
2,M855788,650,17,21-09-2019,16:39:00
2,S704443,524,0,08-08-2019,17:50:00
3,V228277,1341,19,04-08-2019,11:46:00
1,B861430,479,21,12-04-2019,10:13:00
2,U194381,802,0,13-05-2019,16:42:00
1,S704443,48,0,07-10-2019,14:09:00
2,O362956,1239,20,27-09-2019,08:16:00
2,H438047,1265,0,17-12-2019,18:41:00
2,X409223,656,0,04-10-2019,10:20:00
2,J192194,312,188,01-10-2019,10:00:00
3,D411745,764,0,04-10-2019,15:24:00
2,D774655,1398,91,30-11-2019,16:06:00
1,X409223,866,0,25-11-2019,12:09:00
2,A475155,42,0,27-08-2019,16:52:00
2,J632516,1131,0,11-04-2019,13:55:00
3,Q921541,1467,0,03-04-2019,10:09:00
2,I281837,348,20,29-05-2019,10:45:00
2,V732706,1336,0,21-08-2019,10:42:00
3,T398672,586,0,19-08-2019,15:12:00
3,T398672,1457,0,06-12-2019,13:14:00
2,I992869,1458,22,12-08-2019,17:44:00
3,I543040,783,0,20-11-2019,17:08:00
3,U641256,1191,48,12-02-2019,15:49:00
2,E778362,409,0,05-12-2019,09:09:00
2,X991580,1137,25,23-02-2019,17:00:00
2,X409223,1250,13,13-04-2019,11:11:00
3,H438047,1100,28,16-09-2019,11:46:00
1,G727038,963,246,02-09-2019,11:33:00
3,V126561,357,129,31-01-2019,14:07:00
3,G727038,1115,14,21-03-2019,17:18:00
3,K915074,101,15,27-03-2019,14:15:00
2,K418200,809,85,11-11-2019,18:08:00
3,V732706,879,40,29-04-2019,18:31:00
3,P203824,76,78,31-05-2019,12:36:00
3,V732706,858,0,03-06-2019,17:39:00
1,K273930,630,20,14-12-2019,15:19:00
1,U194381,1358,7,02-09-2019,11:06:00
2,K669566,178,0,21-02-2019,10:01:00
2,B861430,700,0,25-12-2019,08:49:00
3,K222775,1140,21,31-08-2019,16:46:00
3,J419954,729,76,01-10-2019,10:22:00
3,B971624,757,0,14-08-2019,13:09:00
2,Y193775,890,8,21-11-2019,15:39:00
1,G586239,1392,0,23-06-2019,12:21:00
2,V126561,1499,0,22-04-2019,17:58:00
3,E778362,223,15,25-05-2019,17:55:00
2,J419954,1302,0,06-04-2019,13:12:00
1,T387561,487,268,02-08-2019,14:49:00
3,K399501,567,6,04-10-2019,14:37:00
1,H438047,573,49,25-01-2019,09:00:00
3,V828034,283,15,19-05-2019,19:22:00
3,S564705,1195,0,13-05-2019,12:43:00
2,E243130,1200,7,16-04-2019,15:38:00
2,Q921541,1041,269,21-05-2019,15:45:00
2,T659609,577,0,25-08-2019,16:00:00
3,I543040,333,0,06-10-2019,13:46:00
3,K669566,1033,281,05-03-2019,15:47:00
2,B971624,1487,12,29-07-2019,14:03:00
3,A475155,491,13,08-09-2019,16:14:00
1,X110622,983,0,17-06-2019,16:42:00
3,N772493,374,0,23-04-2019,13:40:00
3,I281837,963,8,23-03-2019,11:59:00
3,B971624,333,0,24-10-2019,16:13:00
3,N470942,1002,6,02-04-2019,10:33:00
3,A475155,974,7,03-03-2019,14:06:00
3,J173690,325,0,16-03-2019,19:50:00
2,A475155,1412,179,05-11-2019,17:53:00
1,F542348,361,35,24-11-2019,13:37:00
2,N772493,1323,25,08-09-2019,16:16:00
3,F533051,991,26,18-04-2019,18:28:00
1,P286634,649,0,20-01-2019,16:11:00
3,J632516,700,10,22-06-2019,14:30:00
2,J173690,35,25,04-05-2019,18:09:00
1,X825147,971,22,17-04-2019,09:17:00
3,N119221,774,0,11-10-2019,11:00:00
3,X991580,1380,12,02-06-2019,18:01:00
