CallTimestamp,Call Type,EmployeeID,Call Duration,WaitTime,CallDate,CallTime
01-01-2021 01:07,3,E243130,264,0,01-01-2021,01:07:00
01-01-2021 01:09,2,X110622,379,0,01-01-2021,01:09:00
01-01-2021 01:15,3,U559430,743,11,01-01-2021,01:15:00
01-01-2021 01:16,2,J173690,1531,27,01-01-2021,01:16:00
01-01-2021 01:18,3,V828034,244,13,01-01-2021,01:18:00
01-01-2021 01:18,2,A475155,1240,29,01-01-2021,01:18:00
01-01-2021 01:20,2,O856292,1529,4,01-01-2021,01:20:00
01-01-2021 01:45,3,I543040,948,0,01-01-2021,01:45:00
01-01-2021 02:04,2,H438047,945,173,01-01-2021,02:04:00
01-01-2021 02:06,3,A166733,784,28,01-01-2021,02:06:00
01-01-2021 02:22,2,K222775,321,0,01-01-2021,02:22:00
01-01-2021 02:30,2,X409223,1205,23,01-01-2021,02:30:00
01-01-2021 02:31,3,B971624,362,174,01-01-2021,02:31:00
01-01-2021 02:43,2,U194381,306,18,01-01-2021,02:43:00
01-01-2021 02:57,2,M163408,534,231,01-01-2021,02:57:00
01-01-2021 03:08,2,O856292,428,237,01-01-2021,03:08:00
01-01-2021 03:10,2,O362956,359,12,01-01-2021,03:10:00
01-01-2021 03:11,3,J192194,306,26,01-01-2021,03:11:00
01-01-2021 03:18,3,K273930,1512,21,01-01-2021,03:18:00
01-01-2021 03:24,2,D774655,694,23,01-01-2021,03:24:00
01-01-2021 03:28,2,G586239,243,0,01-01-2021,03:28:00
01-01-2021 03:43,3,F542348,1218,0,01-01-2021,03:43:00
01-01-2021 03:49,3,H438047,820,0,01-01-2021,03:49:00
01-01-2021 03:54,3,N470942,999,258,01-01-2021,03:54:00
01-01-2021 04:03,3,B651033,525,98,01-01-2021,04:03:00
01-01-2021 04:17,1,N119221,998,0,01-01-2021,04:17:00
01-01-2021 04:21,1,E988252,403,0,01-01-2021,04:21:00
01-01-2021 04:24,1,M855788,1193,6,01-01-2021,04:24:00
01-01-2021 04:39,1,I992869,1437,10,01-01-2021,04:39:00
01-01-2021 04:42,1,E243130,320,0,01-01-2021,04:42:00
01-01-2021 05:21,3,F542348,435,22,01-01-2021,05:21:00
01-01-2021 05:23,3,T398672,1300,0,01-01-2021,05:23:00
01-01-2021 05:36,2,C319958,978,25,01-01-2021,05:36:00
01-01-2021 05:42,2,E137708,356,0,01-01-2021,05:42:00
01-01-2021 05:51,3,I992869,339,19,01-01-2021,05:51:00
